imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
1.JPG, 0, _0.0_1290x920 (RGB)(1), -57.784294, 14.680319, -63.885449, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 5.867616, -45.649581, -92.064195, 11808.818559, 9477.620217, 14953.295862, 1344.153507, 2607.810385, 7338.260220, 0.000000
2.JPG, 1, _0.0_1439x799 (RGB)(2), 19.378890, 1.329873, -33.255884, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 6.658718, -2.741521, -64.045043, 16480.794440, 9775.760783, 17341.830663, 3005.486216, nan, 2859.757697, 0.000000
3.JPG, 2, _0.0_1504x827 (RGB)(3), 37.026388, 2.841421, -36.211415, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 4.272316, 1.727348, 115.561957, 19811.761868, 10514.975601, 16774.746940, 2979.873377, 191.762909, 3246.758923, 0.000000
4.JPG, 3, _0.0_1139x722 (RGB)(4), 52.629525, -33.940022, -22.168941, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 10.680827, 13.271590, 74.365911, 22236.666915, 12362.050475, 17638.679923, 266.325153, 2799.823111, 4061.828800, 0.000000
5.JPG, 4, _0.0_686x881 (RGB)(5), 41.143074, -49.908024, -32.285005, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 21.895012, 9.789053, 40.495564, 18218.596912, 13585.915756, 16148.915613, 3094.603336, 932.303340, 2697.699683, 0.000000
6.JPG, 5, _0.0_646x889 (RGB)(6), 29.078132, -55.398552, -35.194169, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 26.256495, 4.861900, 22.679837, 14890.927095, 14090.299271, 15724.447152, 3095.639942, 1860.449283, 1491.064907, 0.000000
7.JPG, 6, _0.0_715x901 (RGB)(7), 23.159053, -55.506319, -38.111235, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 30.762401, 0.705854, 9.081511, 13259.635551, 13877.777697, 15414.982733, 2350.298716, 2965.376051, 361.586526, 0.000000
8.JPG, 7, _0.0_772x932 (RGB)(8), 2.065230, -37.656052, -59.418660, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 32.650654, -9.630711, -10.085104, 8113.230035, 9868.811272, 13749.206360, 695.804501, 3704.422764, 488.331917, 0.000000
9.JPG, 8, _0.0_939x844 (RGB)(9), -13.918575, -47.253568, -28.759810, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 26.613075, -17.229785, -35.233819, -1.000000, -1.000000, -1.000000, -57.295780, -57.295780, -57.295780, 0.000000
10.JPG, 9, _0.0_1209x690 (RGB)(10), -18.262223, -22.238357, -25.541537, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 16.773185, -20.841219, -60.033505, 8587.261955, 9270.396652, 18425.171601, 3545.787533, nan, 3101.452981, 0.000000
11.JPG, 10, _0.0_1309x673 (RGB)(11), -26.771681, -4.122113, -25.060672, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 8.667839, -25.577362, -84.099246, 9890.454229, 8240.169499, 19425.045967, 2261.169196, 2041.032398, 4525.907140, 0.000000
13.JPG, 11, _0.0_1253x805 (RGB)(12), -38.897269, 15.592021, -28.338463, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, 1.124565, -31.273676, -101.423921, 11507.519209, 9219.622400, 20044.975607, 542.395475, 2940.352790, 5574.821661, 0.000000
14.JPG, 12, _0.0_1038x889 (RGB)(13), -40.765353, 42.575295, -30.265789, 0.000000, 0.000000, 0.000000, 5.000000, 5.000000, 10.000000, -9.902860, -32.087915, -121.678825, -1.000000, -1.000000, -1.000000, -57.295780, -57.295780, -57.295780, 0.000000
