x,y,z,sx,sy,sz
73.60,33.27,-150.60,487329.9590,216526.1784,406603.1348
12.09,-27.63,-151.42,275352.2440,139447.3571,399268.1549
9.35,-26.59,-129.52,268467.3850,127762.8573,381454.4486
42.41,-3.59,-170.55,396951.0356,89693.4915,439943.2755
49.07,6.29,-139.85,434437.8299,53894.8568,392683.4787
10.25,-22.85,-156.19,252453.6365,78122.7442,401150.6091
10.82,-27.37,-141.94,272483.5134,136339.3928,388423.2237
11.86,-28.12,-147.52,277062.8183,144340.2567,394814.8283
12.96,-28.99,-133.00,294309.9642,158557.1988,385412.9735
9.98,-22.52,-154.18,251473.7107,72224.1658,397906.1419
-11.42,-43.12,-174.26,15991.4869,206476.2226,431074.8641
9.86,-22.15,-153.86,250290.3436,65442.8793,397129.3212
48.41,38.39,-163.21,325671.1499,139120.5507,401616.5133
-0.50,-33.78,-161.05,182968.7736,157056.1937,407918.2397
15.01,-29.55,-131.79,309147.7474,167763.7365,386368.9112
-8.09,-37.10,-170.07,97068.5551,163200.8991,420438.6607
30.64,-22.85,-173.30,365473.2446,149552.8169,449717.8717
45.18,2.63,-143.49,419009.8258,41156.2404,395287.2965
41.98,1.19,-168.80,385965.0550,63764.7242,432602.4828
43.83,-9.99,-170.30,417414.9488,122514.1075,444903.2529
39.97,4.46,-169.71,367043.0646,12615.1468,430458.0308
41.84,-9.75,-170.41,406163.6323,114181.4208,443387.5969
25.89,-37.32,-169.66,361978.4488,224626.1803,447919.1240
69.23,37.09,-151.73,453161.9946,214592.0221,402809.1451
52.21,-17.14,-141.89,495078.2125,163037.6976,407629.2386
64.25,15.92,-164.25,472622.7122,163034.8394,431973.7611
55.69,-10.40,-110.56,521409.7351,126177.1932,397381.6870
22.29,-38.42,-169.64,341921.1191,226784.5272,445865.8053
45.13,-16.23,-161.41,442426.9355,149882.6325,431862.8049
73.63,33.29,-153.80,484698.1263,220249.6387,411084.3618
40.08,-4.08,-170.33,385540.1008,77864.6758,437871.1113
23.86,-16.97,-172.76,316625.3089,80998.0670,438557.1638
48.56,-8.90,-168.03,442126.8347,133115.5571,443059.6967
32.37,-22.59,-173.39,374740.4056,152287.6215,451153.9468
84.55,14.21,-152.08,588139.9916,204389.1614,425702.6690
46.09,-7.97,-170.90,425075.8171,123065.0856,446680.1185
48.42,30.08,-141.20,370493.5344,58875.9698,380885.2992
68.47,40.16,-152.37,439641.5982,222206.9221,401328.3816
26.53,-14.02,-135.15,353122.2758,53516.1791,386399.4305
59.50,47.78,-134.76,382368.5971,189153.0787,376438.1431
55.61,56.21,-113.16,348522.5070,168014.7591,378916.8308
49.32,25.36,-139.68,389735.3609,46349.9384,383052.5417
44.60,-8.14,-170.12,418062.8762,117844.7643,443907.3083
54.59,44.27,-161.52,342588.7565,191164.4542,400401.0443
40.23,-22.82,-165.27,424463.1298,170269.1913,439951.6581
55.88,55.74,-135.05,333129.5349,203962.5449,370061.3089
53.34,55.64,-140.87,312841.0349,199904.3427,370120.1178
34.30,-16.73,-115.50,413867.5274,112111.3685,390541.3611
65.82,38.49,-153.59,429568.5899,208860.8810,401855.9637
46.40,-10.61,-169.57,432765.4834,133049.8926,445781.6336
68.35,38.76,-150.50,444721.0327,215162.4646,399630.6339
13.27,-21.00,-170.92,258943.8101,63815.4505,428434.1650
54.12,52.91,-113.82,351275.4633,144929.7858,378580.9077
35.04,-30.36,-167.97,405814.8121,199256.8043,446583.1265
59.13,44.80,-114.63,405920.9556,141293.3982,382515.3537
50.03,15.50,-138.90,419144.0229,37685.9813,388033.1858
59.42,48.49,-139.35,375631.3292,198176.7588,377859.7470
28.36,-18.47,-115.76,382624.2347,108555.8876,388955.0291
37.91,-22.30,-166.63,409994.9197,163247.6893,440647.7054
43.53,75.83,-142.06,116381.4926,242651.9759,349647.2104
85.71,12.09,-160.57,591832.2849,210994.8000,442647.8982
36.58,-36.42,-175.60,417460.5731,229322.7060,469169.1626
52.77,6.78,-140.19,452633.0196,81485.6645,394978.0986
87.29,7.18,-152.00,617141.7323,200113.0101,430524.5774
26.17,-14.73,-167.16,330431.9883,70789.7821,427217.9906
48.54,65.94,-146.06,228150.2330,228249.3451,362594.9304
54.08,14.70,-141.64,440500.5391,84619.7843,393119.3542
26.58,-15.99,-124.63,363089.7444,77119.7580,385007.2274
33.80,-16.54,-115.69,410620.6708,109004.5760,390233.8228
35.96,-23.27,-171.55,397207.9752,164074.9264,450356.8499
48.90,-21.07,-123.01,496377.7662,171031.4911,395814.1934
36.24,-12.66,-114.84,418133.3044,82431.4046,390292.8234
28.14,-15.45,-116.91,375649.4365,75674.8177,387377.6010
33.90,-11.12,-169.86,365768.1340,85534.6462,436635.0264
50.91,4.80,-148.98,440812.4995,87559.0201,404034.8297
57.49,8.32,-140.01,474014.9390,104748.3570,396933.9727
3.85,-24.26,-155.96,208529.4400,59039.7463,396723.3868
7.74,-22.33,-159.77,231519.5140,48224.4022,404204.6689
3.40,-24.36,-156.27,204946.8322,57260.5130,396869.5301
27.61,-12.92,-148.83,348556.5166,52406.8873,397956.3720
53.95,56.92,-160.85,290880.5658,235452.4855,389833.1647
4.39,-23.78,-157.99,210395.4802,51458.3162,399749.6596
50.00,-5.70,-166.07,444911.1461,126808.3745,438060.8037
52.63,17.97,-140.65,425740.5354,72652.5018,389728.2985
5.21,-22.91,-159.65,214034.3164,35111.6484,402342.1138
-4.07,-35.30,-159.77,152561.5681,162809.6022,404050.1120
16.07,-23.77,-140.60,302323.9157,118479.7845,388665.1555
7.43,-22.43,-155.65,232397.8779,50231.6025,397851.6325
4.72,-23.12,-161.34,209439.6848,33526.4488,404794.8852
-3.60,-34.46,-171.66,145873.9496,148872.1429,425554.7854
13.08,-28.67,-142.64,288933.7350,153569.8789,391211.2176
13.96,-27.64,-157.56,283585.1285,142944.9118,409401.8756
4.00,-23.08,-163.14,202459.6818,12484.2145,407179.1437
11.24,-25.16,-145.65,269752.3013,114521.6198,390642.6285
8.57,-23.10,-140.35,251519.3082,78139.5004,383299.4658
9.02,-21.72,-151.66,245218.7020,51246.9027,393376.0690
51.73,37.13,-166.68,345432.3607,159232.6080,411745.5993
-6.88,-37.30,-173.02,110603.6783,166257.0006,427751.6884
-7.62,-37.51,-165.80,109003.3422,170935.6385,413014.3538
14.67,-29.80,-127.34,309769.6179,170046.9591,385397.3169
44.54,1.40,-166.83,400793.5457,79715.8380,430582.6355
52.76,7.28,-140.06,451573.9849,80152.2007,394622.1089
59.02,40.47,-162.32,379125.1439,198943.0150,408305.6451
34.48,-20.58,-172.69,383718.2505,146349.1723,449897.1047
47.61,-2.32,-164.70,426631.4932,106478.7483,431293.3938
44.48,4.00,-158.51,401320.2112,57529.8575,413666.4099
47.25,-7.41,-168.88,431664.9062,124200.3860,442872.6795
47.57,-3.40,-164.75,428587.7165,109741.4435,432074.7069
22.87,-16.12,-172.87,309077.8322,64762.8527,437286.4756
25.46,-15.38,-115.38,360643.6610,58000.4985,387156.5291
76.74,24.61,-137.82,535802.8093,189488.3075,399080.1324
51.69,8.55,-140.12,443098.6584,70110.6683,393403.6020
48.93,-19.42,-147.56,477828.9238,168328.2790,413772.6810
49.35,25.32,-139.73,389941.3060,46840.6841,383124.8961
