1 H_25.40000_18.11473
1001 9.60353 5.75812
1051 2.49849 5.76843
1150 -1.24398 4.18075
1151 8.68969 5.75853
1152 3.12250 5.94499
1153 7.39128 7.16196
1181 -2.41721 -3.87265
1189 -12.04341 -0.35560
1221 3.32115 -5.01946
1222 1.72861 -5.67661
1223 -3.05990 1.89972
1225 3.16392 -3.98918
1233 7.66790 -8.73371
1234 -7.52529 -5.20026
1235 -5.52513 -8.72848
1236 -6.00968 4.75444
1237 -6.41103 5.98593
1238 -4.42592 -8.35056
1239 -8.67056 -2.07972
1240 -12.10703 -2.46787
1241 6.04111 -6.00015
1242 -9.54272 8.49955
1243 10.28617 -1.46345
1248 -3.37228 0.11807
1249 6.50947 -2.95333
1283 2.82185 -6.31046
1291 -12.13584 1.45541
1301 6.66802 -8.84112
1302 -1.06617 6.56406
1314 4.06710 -0.11611
1321 -1.45192 0.03458
1322 -9.72899 0.11014
1323 -9.41803 -6.63581
1325 -3.29351 3.33441
1326 1.39885 -6.91285
1327 0.94271 -2.65257
1328 0.31064 4.97464
1331 -6.14428 -7.83502
1332 -5.71036 -3.12706
1333 -4.35685 -1.16636
1335 2.98552 -0.23709
1344 -10.98623 2.26951
1345 -0.40880 -1.45492
1346 -12.46443 -4.53209
1347 -9.39320 3.61742
1348 6.32943 -8.17034
1352 -12.17565 -3.78524
1361 2.72852 2.92281
1366 4.09458 -7.56677
1367 6.62871 -8.37545
1378 4.50848 6.77699
1384 5.78541 0.08365
1386 -8.54187 3.40113
1387 -5.87786 3.90458
1391 6.71080 -7.95423
1392 6.88604 -8.18835
1394 0.61721 -8.78336
1414 -0.53444 -8.76972
1420 -12.10814 0.60182
1422 3.91436 -8.14918
1423 3.50289 -6.12529
1434 3.11241 4.05376
1435 7.69501 -6.13102
1437 2.75322 3.86847
1440 -8.61392 -3.75893
1441 -4.59014 -0.77431
1447 1.70169 -2.25400
1457 7.85938 -5.19555
1459 -5.65367 1.51606
1460 4.06772 -7.36612
1461 2.17744 0.87500
1477 -5.45221 1.33128
1495 2.38679 -7.91728
1496 3.48466 -1.25700
1497 1.34521 -2.17527
1498 -4.71425 -0.79881
1501 -4.38733 0.33884
1502 -2.76725 0.81722
1503 3.80702 0.19131
1541 -0.06371 -7.89357
1544 -4.00384 0.43639
1545 -6.02626 -2.81775
1546 -4.29142 0.31420
1547 1.39732 0.95125
1548 -3.62841 -3.30702
1549 -0.62080 1.85946
1592 -6.49824 -2.26036
1593 -5.92950 -2.91814
1594 1.52572 -2.10182
1595 1.27733 2.53662
1596 -4.49820 0.66598
1597 3.45558 -6.75691
1598 -0.69657 4.84829
1599 -5.53278 -2.10452
1600 3.63314 0.23650
1601 -0.96689 -2.39942
1602 -1.78803 -2.86590
1603 -5.40755 -0.31804
1604 -4.48088 -1.48923
1605 -3.08435 0.31006
1606 2.30584 1.21565
1607 -4.87929 -6.18167
1608 -6.11021 -4.58323
1609 -3.52084 1.31915
1610 -5.06875 -6.00816
1611 0.16259 -5.42199
1613 10.50686 6.29514
1614 7.19701 3.04017
1686 0.96090 0.09724
1691 1.80812 -1.97859
1694 2.18757 1.02229
1695 2.50681 0.45818
1702 0.90562 -1.73315
1703 1.42428 2.56135
1704 -0.27001 -0.33495
1705 -0.17648 3.09965
1706 -0.16546 0.24218
1707 2.80316 0.06717
1709 0.72103 -1.10323
1744 -4.96433 -3.04338
1745 -4.66145 -5.33518
1748 4.22021 -0.15071
1749 -6.78681 -3.42514
1767 -8.97264 -8.77994
1770 10.67252 6.53959
1771 3.87304 -8.91075
1773 -0.91969 6.71803
1774 -1.92214 3.08172
1775 2.75322 3.86847
1777 7.70680 -7.30390
1778 2.67960 5.60307
1779 11.33923 6.15795
1812 -3.30574 -8.02059
1818 -4.75442 -3.74559
1819 10.06609 7.33966
1820 3.90835 2.03933
1821 3.34559 -6.25714
1822 -11.81676 4.06328
1823 1.68112 5.29812
1824 -1.16680 7.06874
1825 -3.51107 4.53342
1826 -1.84207 8.07195
1827 -7.87550 -6.36379
1828 -2.65927 7.91603
1829 -6.23810 3.28250
1830 -6.47580 8.89937
1831 -8.11538 4.18789
1832 -5.54433 -4.81310
1833 7.99392 3.30705
1834 11.05005 6.40954
1979 3.87192 1.78378
1983 0.43474 6.81447
1986 2.97483 -2.94225
1990 -2.99218 -8.91876
1991 3.19992 7.12035
2005 0.26488 -3.58790
2006 0.26705 -3.49635
2007 -4.09729 1.46874
2008 -2.30317 -7.11547
2009 -11.69594 -6.26000
-99
2 H_25.40000_14.10327
1052 -4.44743 -4.95564
1097 -4.80991 -4.10508
1100 -5.93747 -5.78283
1140 4.43691 0.93809
1146 5.26773 1.10475
1147 3.11267 0.74084
1149 3.66038 0.84777
1153 5.33702 -2.07659
1154 11.42488 -3.45146
1155 -1.82696 0.91488
1158 -8.24893 -5.59520
1159 -10.87838 -4.13779
1160 -7.69985 -5.97015
1161 2.90848 1.26526
1162 -4.24062 6.25192
1163 -6.11139 6.33008
1165 1.61990 -6.38268
1167 7.96164 -0.71516
1168 11.88789 -6.19628
1171 6.13272 2.13669
1172 7.36737 6.01608
1173 10.12218 -5.25704
1174 -4.08272 1.11772
1175 8.00217 1.25808
1176 6.36843 1.58302
1177 10.11806 2.27790
1178 -10.47510 -5.75874
1179 6.68173 -6.46415
1180 -7.62863 6.33070
1181 -5.11810 -2.37743
1182 3.71650 6.22425
1183 9.33552 5.46641
1184 11.39158 1.74181
1185 11.52080 6.41780
1186 5.68344 5.12624
1187 10.02866 -6.01651
1188 12.40713 2.01752
1189 -11.28574 5.57639
1208 -8.80581 5.43044
1231 5.12849 5.23088
1244 3.27991 -6.83308
1253 -10.66587 -3.97938
1254 2.76300 -6.54820
1258 4.96545 -6.67518
1259 -5.52764 -3.14185
1270 -12.27066 1.03357
1272 -12.28221 -4.18259
1273 0.83774 -5.00048
1274 -11.67061 1.01354
1275 -4.76964 0.22495
1276 -12.41569 -3.07747
1278 -6.45139 6.01119
1279 -10.89391 -1.34771
1280 -11.50245 -3.41984
1281 -3.53892 5.55381
1284 -10.82628 -1.11288
1287 -1.68525 5.49862
1288 -3.14979 -4.14419
1295 -3.16731 -4.96233
1296 -5.75707 -0.25565
1300 0.08642 -6.41736
1313 -5.88982 -5.99361
1314 1.64606 -1.76755
1318 -2.66374 -3.34884
1320 -5.01715 -5.22727
1321 -2.53995 1.17621
1332 -7.28792 -0.40140
1333 -6.10961 -0.08433
1334 -8.35444 5.43052
1335 1.03543 -0.89880
1337 -5.41881 -2.14997
1338 -1.58338 -5.98891
1340 -1.32461 -6.88907
1341 5.96596 -6.03334
1342 7.05817 -5.80299
1348 1.85798 -4.95970
1355 5.06549 -5.68830
1357 4.64218 -5.41289
1358 4.70097 -5.88439
1359 3.88899 -5.80905
1360 1.17030 -0.62723
1361 3.39477 3.38820
1362 -5.73832 2.49081
1365 7.34893 -4.51297
1366 0.49444 -3.82440
1367 1.95209 -5.21911
1368 -2.33179 -4.13050
1370 -3.26791 -4.90078
1371 -0.61184 -4.82095
1372 0.67489 -4.39965
1373 0.63436 -4.47839
1374 -0.83570 -5.59935
1375 -0.71404 -6.09298
1376 -2.48897 -0.98317
1379 -2.94436 -5.64535
1380 -2.47045 -6.31246
1381 -1.89185 -5.79624
1382 -1.88882 -5.32245
1383 -3.02336 -5.41164
1391 2.24067 -4.93794
1392 2.24076 -5.17922
1393 3.56720 -1.12951
1399 8.85144 -4.39519
1405 -3.26417 -3.69757
1408 7.75672 -4.58751
1417 -5.50767 -2.30408
1418 2.27505 5.33473
1419 -7.20511 5.16412
1421 -3.45155 3.71322
1422 0.00285 -4.31544
1424 -0.18103 -4.29675
1428 -2.24834 -0.52410
1429 0.11159 0.93253
1430 -10.62192 2.51864
1435 3.38476 -4.74389
1437 4.28121 4.87792
1440 -8.22537 3.07547
1441 -6.11106 0.46090
1446 -4.29263 5.24844
1447 -1.13567 -2.57359
1452 -6.16393 -0.21503
1455 -1.62470 -4.81052
1460 0.58123 -3.65373
1461 1.13681 0.73528
1464 -10.38892 0.72600
1466 -4.37934 3.97178
1468 -4.88937 3.89943
1469 -1.67237 -3.41724
1473 -10.52138 3.38884
1484 -10.11455 -4.87726
1491 -8.57310 -1.49083
1492 -8.46937 -1.24838
1495 -0.85158 -3.42495
1496 0.72362 -2.24683
1497 -1.52493 -2.34174
1498 -6.22859 0.46951
1499 -8.95968 1.84649
1500 -8.34495 0.56086
1501 -4.50145 3.39700
1502 -2.67866 3.61921
1503 1.67656 -1.27709
1504 -4.93808 4.42016
1506 -1.77839 3.17485
1507 -0.02503 1.87110
1508 -2.22519 3.01697
1509 -2.48083 -1.23678
1510 -6.56089 5.33079
1511 -4.35577 3.45355
1512 -3.21946 -2.14786
1513 -7.71218 5.20440
1514 -2.28877 4.93483
1515 -3.71832 -0.13518
1516 -3.09139 5.49283
1517 -4.16357 6.11167
1518 -2.62781 5.66444
1519 -8.72058 1.29062
1520 -1.74461 -0.94871
1521 -2.41067 3.11574
1523 -8.23567 -2.61885
1524 -7.93079 -3.35719
1525 -8.32981 -2.62397
1526 -8.05062 -2.27659
1527 -8.30217 -2.12104
1528 2.30877 -3.24836
1529 -8.87663 -0.71379
1544 -4.12330 3.37885
1545 -7.40903 0.04405
1546 -4.43105 3.33039
1547 0.49353 1.11342
1548 -5.77157 -1.35490
1549 -0.90776 2.74091
1550 -9.97764 -3.97610
1552 -9.25787 -3.32885
1553 -9.65013 -2.16073
1554 -8.71143 -3.77674
1558 10.56837 -0.16228
1561 1.84383 -1.64220
1563 -3.49345 5.19608
1564 -7.16475 -1.36745
1565 -3.59771 -2.19046
1567 -8.61241 -2.04502
1568 0.86569 -4.55665
1569 -0.94087 5.32288
1571 -2.24686 -0.39073
1572 10.82717 -2.16699
1573 10.95129 -1.46658
1574 -2.93906 3.91011
1575 -3.51244 -1.61574
1576 -4.77518 -4.66737
1577 -9.71167 -0.24213
1578 -8.25996 0.63707
1589 -6.08866 5.94990
1606 1.49024 1.06338
1621 -2.61700 5.04131
1625 -6.73444 -4.81353
1628 -2.34582 3.49628
1630 -3.09342 3.18419
1632 -0.33419 -6.25360
1633 -2.23788 4.64657
1634 -4.84526 0.58884
1635 -2.65137 -5.81162
1666 -6.24197 -4.52229
1674 -1.08248 5.61080
1682 -5.76916 -3.84771
1684 -6.03254 -3.81961
1686 -0.44203 0.31435
1687 -5.71299 -4.21750
1688 -7.12356 -4.23471
1689 -6.55031 -4.83648
1690 -4.57287 -4.88740
1692 -5.66476 -5.11246
1693 -6.73297 -4.00126
1694 1.25638 0.92375
1695 1.12588 0.10602
1697 1.84380 -1.32662
1698 -5.72801 -3.08203
1699 -2.38568 4.12212
1700 0.64912 -1.11738
1701 -2.04669 3.31959
1702 -1.59659 -1.70224
1703 1.89195 3.49167
1704 -1.72679 0.32026
1706 -1.28520 0.95199
1707 1.10559 -0.46746
1708 -2.08484 4.10510
1709 -1.42930 -0.95916
1712 -4.90535 -0.29979
1713 -0.55825 0.13718
1714 -0.34968 2.15960
1715 -6.18251 -1.52989
1716 -5.85269 5.27306
1717 -5.77359 5.81192
1718 -5.33838 5.21658
1719 -8.10251 4.74118
1721 -5.55350 -3.46781
1722 -5.22886 -3.03619
1723 -5.50836 -4.58408
1724 -5.21203 -3.84174
1726 -6.38670 4.24891
1727 -5.54509 0.21374
1771 -0.53996 -5.09052
1780 -5.68056 2.00390
1781 0.70783 5.10857
1782 1.70209 5.29713
1783 -11.27482 -0.33297
1784 -7.89414 -6.83975
1785 -0.58688 3.90083
1786 0.40058 6.00602
1787 1.79673 -6.17346
1799 2.44365 -3.34448
1818 -6.81073 -1.39555
1835 0.38212 0.85449
1836 4.51499 3.01551
1837 -7.02043 -0.85176
1838 5.39276 0.32656
1839 1.28077 6.81224
1840 -8.73555 0.04373
1841 11.47835 3.46980
1842 -9.89559 6.27692
1843 -7.30071 2.01898
1844 -3.14391 6.56570
1980 0.93303 -5.20502
1985 -0.89398 -2.99455
-99
3 H_25.40000_13.96662
1019 4.70313 5.70095
1052 4.60466 4.56752
1094 5.26356 -0.67959
1097 4.96424 3.72727
1099 5.53314 -0.61014
1100 5.99929 5.31713
1126 1.83490 -0.96626
1140 -3.94682 -1.22788
1141 -9.41246 3.30441
1142 1.73544 -5.83142
1143 -10.42632 3.08506
1144 -6.04054 -0.62111
1145 -0.45428 -5.95224
1146 -4.80427 -1.38703
1147 -2.66863 -0.97705
1148 -4.78018 2.40565
1149 -3.22607 -1.14379
1153 -3.96095 4.13965
1154 -10.73948 2.95298
1155 2.52156 -0.28988
1156 -1.77460 6.73825
1157 -2.34047 -5.85439
1158 8.24446 5.19766
1159 10.82563 3.81909
1160 7.68460 5.50405
1162 5.03917 -5.68678
1163 6.93177 -5.74836
1164 5.84052 -1.02512
1165 -1.25967 5.81233
1166 10.36682 4.76541
1167 -6.60368 2.70928
1168 -11.11355 5.52890
1169 -5.83259 -0.30158
1170 7.22699 -3.45164
1171 -5.61989 -2.29740
1172 -6.87052 -6.15398
1173 -9.39350 4.80979
1174 4.47397 -1.14044
1175 -7.46498 -1.47883
1176 -5.86011 -1.77927
1177 -9.30320 -1.73711
1178 10.46566 5.54912
1179 -6.08878 5.90635
1180 8.45164 -5.73005
1181 5.65764 2.90882
1182 -3.26089 -6.45632
1183 -8.28330 -4.07664
1184 -10.38926 -0.71376
1185 -10.27114 -4.36528
1186 -5.19131 -5.27862
1187 -9.28680 5.53078
1188 -11.27723 -0.59374
1189 12.09053 -4.92015
1208 9.65238 -4.68345
1231 -4.38103 -4.69920
1244 -2.86073 6.20362
1253 10.62836 3.65524
1255 6.74766 -1.68467
1258 -4.46728 6.04625
1264 -0.40005 6.54593
1266 11.98439 0.14328
1269 4.81552 -5.72865
1271 8.51521 -1.89503
1272 12.21965 3.96951
1273 -0.50354 4.51945
1274 11.88325 -1.13355
1275 5.50040 0.62335
1278 7.28056 -5.37853
1279 10.98885 1.19341
1280 11.45892 3.13688
1281 4.30625 -5.00041
1284 10.93497 0.97626
1287 2.41702 -5.02485
1288 3.36270 3.75724
1295 3.39501 4.61427
1296 6.45470 1.08631
1313 5.94874 5.51540
1320 5.12984 4.78195
1332 7.85204 1.01953
1333 6.80339 0.92763
1334 9.20147 -4.69526
1335 -0.32227 1.45183
1338 1.85318 5.56556
1340 1.58733 6.39632
1360 -0.45560 1.18973
1361 -2.64156 -2.82768
1368 2.57843 3.72909
1370 3.49465 4.55549
1371 0.93335 4.45270
1372 -0.33460 3.96072
1373 -0.29656 4.03686
1374 1.13761 5.18876
1375 1.01516 5.65138
1376 3.17570 1.66324
1379 3.16386 5.25150
1380 2.69286 5.87364
1381 2.14741 5.38717
1382 2.15565 4.94103
1383 3.25050 5.03500
1418 -1.51708 -4.78161
1419 7.99364 -4.51150
1421 4.14418 -3.19382
1422 0.32861 3.92225
1424 0.50725 3.91090
1428 2.93838 1.14936
1429 0.60955 -0.31777
1430 10.91246 -2.61118
1437 -3.53163 -4.34304
1440 8.66776 -2.94645
1441 6.82391 0.39546
1447 1.77169 3.09988
1452 6.84996 1.05535
1455 1.90882 4.45504
1466 5.10129 -3.38354
1468 5.60322 -3.30468
1479 5.49741 -2.38021
1484 10.03158 4.53438
1491 8.70642 1.27247
1496 -0.02771 2.76843
1497 2.16695 2.87862
1498 6.94811 0.39060
1499 9.23619 -1.96583
1500 8.94272 0.11803
1501 5.20522 -2.81323
1502 3.37448 -3.10133
1504 5.67190 -3.83501
1506 2.46444 -2.67376
1507 0.80556 -1.12504
1508 2.90426 -2.50702
1509 3.15974 1.91213
1510 7.36596 -4.69529
1511 5.06451 -2.87011
1512 3.81774 2.70466
1513 8.50336 -4.55305
1514 3.01700 -4.42948
1515 4.35851 0.74488
1516 3.83087 -4.99657
1517 4.94796 -5.55423
1518 3.36779 -5.17836
1519 8.97159 -1.42771
1520 2.40657 1.53332
1523 8.34418 2.36652
1524 8.01303 3.06036
1525 8.42439 2.35476
1526 8.16964 2.00990
1527 8.41581 1.87707
1529 9.04203 0.50680
1531 6.62256 -4.91156
1544 4.82576 -2.79796
1545 7.98696 0.58721
1546 5.13163 -2.74519
1547 0.24400 -0.49377
1548 6.32688 1.92561
1549 1.68403 -2.01192
1550 9.95589 3.64907
1552 9.29215 3.02578
1553 9.72407 1.91751
1554 8.74567 3.45086
1563 4.25444 -4.61976
1565 4.19929 2.76448
1567 8.72790 1.80798
1568 -0.52581 4.11159
1569 1.66720 -4.84763
1571 2.92239 1.01209
1572 -10.14034 1.88496
1573 -10.26488 1.26369
1574 3.64027 -3.38777
1575 4.15070 2.24119
1576 4.93679 4.30373
1577 9.94539 0.23584
1589 6.90064 -5.32072
1594 2.00094 2.87395
1606 -0.74488 -0.45665
1621 3.34162 -4.52921
1625 6.79709 4.42430
1628 3.03672 -2.98869
1630 3.77207 -2.66834
1632 0.64796 5.80236
1633 2.95464 -4.14231
1634 5.59287 0.27765
1635 2.87557 5.40058
1666 6.33678 4.12757
1674 1.81197 -5.13360
1686 1.14805 0.29247
1687 5.83388 3.83562
1688 7.19411 3.87687
1689 6.61852 4.43491
1690 4.72955 4.50700
1692 5.76091 4.68409
1693 6.82300 3.64427
1694 -0.51866 -0.32562
1695 -0.40069 0.47618
1696 2.25897 1.64193
1699 3.09611 -3.60136
1700 0.05154 1.67013
1701 2.73269 -2.81459
1702 2.26810 2.27274
1703 -1.14875 -2.91447
1704 2.41651 0.29582
1705 -0.07219 -4.44776
1706 1.99629 -0.32707
1707 -0.38641 1.03604
1708 2.79632 -3.59955
1712 5.60924 1.12119
1713 1.26052 0.47731
1714 1.13425 -1.40140
1716 6.64356 -4.62714
1717 6.58244 -5.17825
1718 6.12287 -4.57755
1719 8.87425 -4.06764
1723 5.62157 4.18624
1724 5.36685 3.47845
1726 7.15830 -3.54798
1727 6.26052 0.63462
1771 0.85615 4.70582
1780 6.12045 -1.90231
1781 0.05811 -4.53364
1782 -0.94013 -4.73854
1783 11.41368 0.20619
1784 7.85681 6.36216
1785 1.23661 -3.53919
1787 -1.43147 5.61292
1788 -9.27195 3.74184
1819 -7.08843 4.52883
1835 0.34186 -0.24610
